"tweet_id","emotion_relevance","emotion_category"
"510935848457000000","YES","fear"
"508802214434000000","YES","fear"
"770985430599000000","YES","anger"
"525980000000000000","YES","anticipation"
"771362126506000000","YES","anger"
"532521674605000000","YES","fear"
"475078001177000000","YES","anticipation"
"473267810874171000","YES","trust"
"475172180104208000","NO","happiness"
"482872829974000000","YES","surprise"
"493147553530000000","YES","fear"
"477467458438062000","YES","trust"
"508725139903483000","NO","disgust"
"473173443240685000","YES","happiness"
"476732134003000000","YES","fear"
"482093490542000000","YES","surprise"
"771540252385000000","YES","anger"
"472996506522636000","YES","sadness"
"500230084649709000","YES","trust"
"481318882276159000","YES","sadness"
"772139795183000000","YES","anger"
"480402271634000000","YES","surprise"
"521466420430114000","YES","happiness"
"562891723937157000","YES","sadness"
"518778165163000000","YES","fear"
"478605062738935000","YES","sadness"
"502214569268236000","YES","sadness"
"512302088462671000","YES","trust"
"505850011596000000","YES","fear"
"472047448782024000","YES","happiness"
"475992283951550000","YES","disgust"
"521215676536000000","YES","fear"
"506578071474810000","NO","disgust"
"770393629857000000","YES","anger"
"511629000000000000","YES","anger"
"770133384773000000","YES","anger"
"509655268745965000","YES","sadness"
"493660688880250000","YES","happiness"
"505803404514000000","YES","fear"
"503984000000000000","YES","anger"
"506451000000000000","YES","anger"
"493089730860000000","YES","surprise"
"494386416722000000","YES","surprise"
"513340010926321000","YES","trust"
"493093585446000000","YES","fear"
"477897773036363000","YES","happiness"
"496355692782000000","YES","anticipation"
"520760732976033000","YES","sadness"
"558307337061000000","YES","anticipation"
"546632110216593000","NO","disgust"
"542719000000000000","YES","anticipation"
"553276391052000000","YES","anticipation"
"493084920018000000","YES","surprise"
"515582730457726000","YES","disgust"
"504011434268065000","YES","happiness"
"494800683942000000","YES","surprise"
"505876557341000000","YES","anticipation"
"528186974684000000","YES","fear"
"528218000000000000","YES","anticipation"
"479720873403000000","NO","surprise"
"503821537124700000","YES","happiness"
"506463936066383000","YES","trust"
"520280321565000000","NO","surprise"
"481937915401000000","YES","surprise"
"543788000000000000","YES","anticipation"
"529981000000000000","YES","anger"
"480828714948000000","YES","surprise"
"486630309791000000","YES","surprise"
"525333000000000000","YES","anger"
"528654278870000000","YES","anticipation"
"521261469959000000","YES","fear"
"480292708041000000","YES","surprise"
"501410114318766000","YES","trust"
"772575848482000000","NO","anger"
"508222662272000000","YES","fear"
"557009917219840000","YES","sadness"
"476766841877315000","YES","disgust"
"478822000000000000","YES","anger"
"555234120201000000","YES","anticipation"
"543900573893000000","YES","anticipation"
"526372246157000000","YES","fear"
"528320000000000000","YES","anticipation"
"528487000000000000","YES","anticipation"
"527784225026473000","YES","happiness"
"511369615013000000","YES","fear"
"486916604568000000","YES","surprise"
"515522642850000000","YES","fear"
"545537539457568000","YES","happiness"
"545443872248053000","YES","happiness"
"518829000000000000","YES","anger"
"473203113726181000","YES","trust"
"486915627303000000","NO","surprise"
"485560112124153000","YES","happiness"
"523697278419000000","YES","fear"
"518838164652560000","YES","trust"
"547400049505000000","YES","anticipation"
"558056299582468000","YES","sadness"
"772997471673000000","NO","anger"
"479424881377832000","NO","sadness"
"482664029128000000","NO","surprise"
"770439277214000000","YES","anger"
"518394000000000000","YES","anticipation"
"771844858248000000","YES","anger"
"495193446961782000","YES","trust"
"554083794572000000","YES","anticipation"
"486782068077000000","NO","surprise"
"528435449442750000","YES","trust"
"543383802111074000","YES","sadness"
"772544933534000000","YES","anger"
"492927528756000000","YES","fear"
"478988875109367000","YES","happiness"
"519211038290362000","YES","trust"
"477208237847000000","YES","fear"
"557650513240788000","YES","happiness"
"480166983770000000","YES","surprise"
"508395148825624000","YES","sadness"
"563051749188333000","NO","sadness"
"486630414636000000","YES","surprise"
"554352000000000000","NO","anger"
"476881753236205000","YES","disgust"
"477412223623000000","YES","surprise"
"546840940410052000","NO","disgust"
"512187697202000000","YES","fear"
"520643862889000000","YES","anticipation"
"532380653724000000","YES","fear"
"475873132176097000","YES","disgust"
"546840785191440000","YES","disgust"
"485137561196000000","YES","surprise"
"473003561349939000","NO","sadness"
"518802999628800000","NO","disgust"
"477662774584025000","YES","sadness"
"476880947913453000","YES","sadness"
"484536257348000000","YES","surprise"
"513990224548859000","YES","disgust"
"484053451044000000","YES","surprise"
"473582283014688000","YES","sadness"
"476069052310000000","YES","fear"
"478837120966991000","YES","sadness"
"476132877030400000","YES","disgust"
"515581392483151000","NO","disgust"
"493837315241177000","YES","happiness"
"542086000000000000","YES","anticipation"
"543902000000000000","YES","anticipation"
"477988655207022000","YES","trust"
"531069006804156000","YES","sadness"
"492903600264196000","YES","trust"
"478798487253819000","NO","trust"
"505829287534919000","YES","disgust"
"474909461459382000","YES","disgust"
"493180923450388000","YES","trust"
"517254517126332000","NO","happiness"
"476377228805000000","YES","fear"
"772978706109000000","NO","anger"
"524963148743192000","YES","trust"
"533299315360280000","YES","sadness"
"772842241291000000","YES","anger"
"500973181080000000","YES","fear"
"550377200063885000","NO","sadness"
"524833548927000000","YES","fear"
"511581980992208000","YES","trust"
"770698787048000000","YES","anger"
"517802251256365000","YES","trust"
"496032026752000000","YES","surprise"
"473003561349939000","YES","sadness"
"528684859523227000","YES","trust"
"518937729066078000","YES","disgust"
"527075131807000000","YES","fear"
"525683344299000000","YES","fear"
"477915342996000000","YES","fear"
"498276327506849000","YES","happiness"
"472016436106235000","YES","trust"
"482008232899000000","NO","surprise"
"481942600426000000","YES","surprise"
"505876230189486000","YES","trust"
"498412269111000000","YES","fear"
"502953010021273000","YES","trust"
"547341568345407000","NO","disgust"
"522844509336399000","YES","trust"
"504857127572086000","YES","trust"
"522335000000000000","YES","anticipation"
"526782193238945000","YES","trust"
"560397291639414000","YES","happiness"
